Designator,Footprint,Quantity,Value,LCSC Part #
BOOT2,Push_SMD_4.2x3.2mm,1,BOOT,
"C1, C2",1206,2,2.2uF 100v,
C10,0402,1,22uF,
C11,0402,1,1uF 10V X5R,
"C12, C13, C15, C3, C4, C9",0402,6,100nF,
C14,0402,1,4.7uF 10V X5R,
C5,0402,1,6.8nF,
"C6, C7",1206,2,47uF 10v,
C8,0402,1,39pF,
D3,0603,1,PWR,
D4,0603,1,LIFE,
"D5, D6",D_SMA,2,SS54,
"D7, D8",D_SMA,2,SS56,
D_TVS1,D_SMB,1,SMBJ58A,
F1,1206,1,C41367225,
J1,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,CAN0,
J11,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Qwiic,
J2,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,CAN1,
J3,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,UART0,
J5,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,USB,
J6,PinHeader_1x02_P2.54mm_Vertical,1,5V ⏚,
L1,L_Changjiang_FNR4010S,1,8.2uH,
R1,0402,1,523k,
"R12, R13, R14, R15",0402,4,33Ω,
"R18, R19",0402,2,4.7kΩ,
R2,0402,1,84.5kΩ,
R22,0402,1,1k,
R23,0402,1,100Ω,
R3,0402,1,162kΩ,
R4,0402,1,13.0kΩ,
R5,0402,1,59kΩ,
R6,0402,1,10.2kΩ,
"R7, R8",0402,2,10k,
R9,0402,1,120Ω,
RESET1,Push_SMD_4.2x3.2mm,1,RESET,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,D8-L,1,SN65HVD230DR,
U4,DDA8_3P1X2P4_TEX-L,1,TPS54360BQDDARQ1,
U5,SOT-23-5,1,AP2112K-3.3,
"XT30F1, XT30F2",AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,2,XT30F,
XT30M1,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,XT30M,
